customer_id,age,gender,tenure_months,monthly_charges,total_charges,data_usage_gb,call_minutes,sms_count,num_complaints,contract_type,payment_method,internet_service,churn
1001,56,Male,1,73.35,72.07,16.7,461,186,2,One year,Bank transfer,DSL,No
1002,69,Female,70,50.67,3441.94,45.8,394,388,0,One year,Mailed check,Fiber optic,No
1003,46,Female,47,89.66,4415.66,14.4,574,12,2,Month-to-month,Credit card,DSL,No
1004,32,Female,75,51.14,3694.18,39.1,556,222,0,One year,Mailed check,Fiber optic,No
1005,60,Male,5,64.15,322.88,23.7,268,391,0,Two year,Credit card,Fiber optic,No
1006,25,Female,50,97.64,5027.81,9.9,72,15,1,Month-to-month,Mailed check,DSL,No
1007,38,Female,24,94.17,2359.43,14.4,377,104,0,Month-to-month,Credit card,Fiber optic,Yes
1008,56,Female,47,41.75,1903.57,10.2,490,234,4,Two year,Mailed check,Fiber optic,Yes
1009,36,Male,18,96.27,1679.53,27.2,468,135,0,Month-to-month,Credit card,Fiber optic,No
1010,40,Male,28,71.89,2012.36,35.9,148,285,0,Month-to-month,Mailed check,Fiber optic,Yes
1011,28,Female,77,86.42,6577.38,14,636,220,2,Month-to-month,Credit card,DSL,Yes
1012,28,Female,5,94.99,463.04,27.5,253,202,0,Month-to-month,Bank transfer,Fiber optic,Yes
1013,41,Female,30,84.94,2444.84,37.4,321,361,2,Month-to-month,Electronic check,Fiber optic,No
1014,53,Male,1,92.25,91,10.3,366,363,0,Month-to-month,Electronic check,DSL,No
1015,57,Male,82,49.06,3935.05,40.9,364,320,0,Two year,Bank transfer,Fiber optic,No
1016,41,Male,46,51.42,2287.74,35.7,121,378,3,One year,Bank transfer,Fiber optic,Yes
1017,20,Female,69,79.34,5402.29,36.9,544,285,0,One year,Credit card,Fiber optic,Yes
1018,39,Male,31,99.71,2961.69,34.8,114,200,3,Month-to-month,Credit card,Fiber optic,Yes
1019,19,Female,70,59.01,4303,14.8,375,321,0,One year,Mailed check,Fiber optic,No
1020,41,Female,56,78.49,4438.96,13.5,120,60,0,Month-to-month,Mailed check,DSL,No
1021,61,Male,28,66.45,1856.74,18.2,92,260,2,Two year,Electronic check,DSL,No
1022,47,Female,16,65.25,1005.34,7.6,370,380,0,Two year,Electronic check,DSL,Yes
1023,55,Male,54,62.79,3484.73,7.9,88,111,1,One year,Credit card,DSL,No
1024,19,Female,53,97.83,4964.84,11,191,369,1,Month-to-month,Credit card,DSL,Yes
1025,38,Female,12,60.53,761.6,13.9,285,101,4,Two year,Bank transfer,DSL,No
1026,50,Male,20,96.38,1993.67,4.6,597,145,0,Month-to-month,Credit card,DSL,No
1027,29,Female,82,64.34,5260.57,5.1,211,171,3,Month-to-month,Mailed check,DSL,No
1028,39,Female,34,93.63,3238.11,16.4,493,371,1,Month-to-month,Bank transfer,DSL,No
1029,61,Female,53,67.12,3411.12,42.3,202,156,0,Two year,Credit card,Fiber optic,No
1030,42,Female,64,60.38,3859.89,20,585,274,1,Month-to-month,Mailed check,Fiber optic,Yes
1031,66,Female,23,55.98,1328.69,49.8,669,75,1,Two year,Mailed check,Fiber optic,Yes
1032,44,Female,27,66.02,1707.35,8.5,56,265,4,Month-to-month,Electronic check,DSL,Yes
1033,59,Female,17,75.87,1253.29,8.2,202,43,0,Month-to-month,Bank transfer,DSL,Yes
1034,45,Female,48,47.29,2332.87,12,400,266,1,One year,Electronic check,DSL,Yes
1035,33,Male,21,72.38,1513.66,26.8,470,104,1,Month-to-month,Bank transfer,Fiber optic,No
1036,32,Male,50,61.99,3150.63,29.4,446,75,1,One year,Bank transfer,Fiber optic,No
1037,64,Female,40,50.14,2069.41,39.7,142,287,1,One year,Electronic check,Fiber optic,Yes
1038,68,Female,3,69.1,199.95,6.8,457,209,0,One year,Electronic check,DSL,No
1039,61,Male,17,62.25,1054.92,9,478,238,2,One year,Credit card,DSL,No
1040,69,Female,61,77.13,4734.38,3.4,492,237,0,Month-to-month,Bank transfer,DSL,No
1041,20,Male,50,66.41,3358.68,34,686,184,0,Month-to-month,Credit card,Fiber optic,No
1042,54,Male,6,79.93,496.26,21.1,548,268,2,Month-to-month,Bank transfer,Fiber optic,No
1043,68,Male,28,97.6,2726.34,29.5,489,44,3,Month-to-month,Mailed check,Fiber optic,Yes
1044,24,Female,72,39,2756.68,29.5,404,254,1,Two year,Credit card,Fiber optic,No
1045,38,Female,55,53.62,3038.28,8.8,574,161,0,One year,Electronic check,DSL,No
1046,26,Female,58,56.25,3391.98,45,299,275,1,One year,Mailed check,Fiber optic,No
1047,56,Male,45,45.87,2034.98,49.1,217,336,0,One year,Electronic check,Fiber optic,No
1048,35,Male,72,73.22,5391.16,43.6,190,158,1,Month-to-month,Mailed check,Fiber optic,No
1049,21,Male,19,61.35,1132.07,45.1,667,67,0,One year,Mailed check,Fiber optic,No
1050,42,Female,29,36.87,1025.4,48.8,495,310,0,Two year,Credit card,Fiber optic,No
1051,31,Male,23,94.33,2142.8,5.1,358,205,0,Month-to-month,Electronic check,DSL,No
1052,67,Male,32,37.7,1195.18,18.2,286,224,3,Two year,Credit card,Fiber optic,No
1053,26,Female,10,78.33,753.07,19.1,349,148,0,One year,Mailed check,DSL,No
1054,43,Male,49,80.74,3798.9,38.4,501,216,0,Month-to-month,Bank transfer,Fiber optic,No
1055,19,Male,65,57.06,3785.38,18.6,494,193,0,One year,Bank transfer,DSL,No
1056,37,Female,29,85.63,2537.61,17,487,74,1,Month-to-month,Mailed check,Fiber optic,No
1057,45,Female,59,66.19,3738.26,10.4,226,329,0,Month-to-month,Electronic check,DSL,No
1058,64,Male,45,47.47,2137.59,18.7,598,279,1,Two year,Electronic check,Fiber optic,No
1059,24,Female,67,39.9,2689.25,45.1,67,225,1,Two year,Electronic check,Fiber optic,No
1060,61,Male,51,64.47,3287.51,20.8,489,48,1,Two year,Bank transfer,Fiber optic,No
1061,25,Female,11,45.48,524.25,11.8,483,102,2,Two year,Credit card,DSL,No
1062,64,Male,82,37.36,3050.57,49.9,246,269,1,Two year,Electronic check,Fiber optic,No
1063,52,Female,6,52.52,316.55,11.8,433,17,0,Two year,Credit card,DSL,Yes
1064,31,Male,67,73.07,4802.76,19.8,573,196,1,Month-to-month,Electronic check,DSL,Yes
1065,34,Female,62,96.53,5836.6,41.8,65,87,0,Month-to-month,Electronic check,Fiber optic,No
1066,53,Female,5,61.6,317.82,45.2,323,124,1,Month-to-month,Electronic check,Fiber optic,Yes
1067,67,Female,9,49.14,461.19,23.3,76,348,5,One year,Credit card,Fiber optic,Yes
1068,57,Female,28,36.69,1009.01,16.1,416,346,0,Two year,Credit card,Fiber optic,No
1069,21,Female,83,75.09,6449.18,45.5,268,362,2,Month-to-month,Credit card,Fiber optic,Yes
1070,19,Female,77,54.43,4158.31,12,572,232,1,One year,Mailed check,DSL,No
1071,23,Female,38,77.35,2946.51,15.2,627,313,3,One year,Bank transfer,DSL,No
